cell line	cellosaurus name	cellosaurus accession	bto cell line	organism	organism part	sampling site	age	developmental stage	sex	ancestry category	disease	cell type	Material type	synonyms	curated
MGH358	not available	not available	not available	Homo Sapiens	Breast	Breast	not available	Adult	Female	not available	Breast Cancer	epithelial	cell	MGH358	curated
MGH312	not available	not available	not available	Homo Sapiens	Breast	Liver	not available	Adult	Female	not available	Breast Cancer	epithelial	cell	MGH312	curated
hTERT-HME1	hTERT-HME1	CVCL_3383	not available	Homo Sapiens	Breast	Breast	53Y	Adult	Female	not available	Non-cancerous	epithelial	cell	hTERT-HME-1; hTERTHME1; HME-1; HME1; ME16C; hME1	curated
PDX1206	not available	not available	not available	Homo Sapiens	Breast	Breat	not available	not available	Female	not available	Breast Cancer	epithelial	cell	PDX1206	curated
PDX1258	not available	not available	not available	Homo Sapiens	Breast	Breat	not available	not available	Female	not available	Metaplastic triple negative breast cancer	epithelial	cell	PDX1258	curated
PDXHCI002	not available	not available	not available	Homo Sapiens	Breast	Breat	not available	not available	Female	not available	Invasive ductal carcinoma	epithelial	cell	PDXHCI002	curated
HL-60	HL-60	CVCL_0002	HL-60 cell	Homo Sapiens	Blood	Peripheral blood	36Y	Adult	Female	Caucasian	Acute myeloid leukemia	not available	cell	HL60; NAN; HL 60; HL60 CELL; HL.60; HUMAN LEUKEMIA-60	curated
K-562	K-562	CVCL_0004	K-562 cell	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	53Y	Adult	Female	Caucasian	 bcr-abl1 positive; Chronic myelogenous leukemia	not available	cell	GM05372E; K562WT CELL; K562; K562 CELL; K 562; KO; K562S CELL; GM05372; K-562/S CELL; K.562	curated
NB4	NB4	CVCL_0005	NB-4 cell	Homo Sapiens	Bone Marrow	Bone marrow	23Y	Adult	Female	Caucasian	Acute myeloid leukemia	not available	cell	NB4 CELL; NB-4; NB.4	curated
THP-1	THP-1	CVCL_0006	THP-1 cell	Homo Sapiens	Blood	Peripheral blood	1Y	Infant	Male	Japanese	Childhood acute megakaryoblastic leukemia	not available	cell	O-THP-1; THP-1-O; NAN; THP-1(ATCC); TOHOKU HOSPITAL PEDIATRICS-1; THP1 CELL; THPI; THP1; THP 1	curated
U-937	U-937	CVCL_0007	U-937 cell	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	37Y	Adult	Male	Caucasian	Adult acute monocytic leukemia	not available	cell	U937; U937 CELL; U 937	curated
Daudi	Daudi	CVCL_0008	DAUDI cell	Homo Sapiens	Blood	Peripheral blood	16Y	Juvenile	Male	African; Kenyan	Burkitt lymphoma	B cell	cell	NAN; N; DAUDI; NK-10A; GM03190; GM17346; GM3190; GM03190A; NK10A; NK 10A	curated
HDLM-2	HDLM-2	CVCL_0009	not available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	74Y	Elderly	Male	Caucasian	Hodgkins lymphoma	not available	cell	HD-LM-2; HDLM2	curated
LP-1	LP-1	CVCL_0012	LP-1 cell	Homo Sapiens	Blood	Peripheral blood	56Y	Adult	Female	Caucasian	Plasma cell myeloma	not available	cell	LP1 CELL; LP1	curated
MOLT-4	MOLT-4	CVCL_0013	MOLT-4 cell	Homo Sapiens	Blood	Peripheral blood	19Y	Adult	Male	Caucasian	Adult t acute lymphoblastic leukemia	T cell	cell	MOLT4 CELL; MOLT4; MOLT-4; GM02219; MOLT 4; GM2219C; GM02219C; MOLT.4; GM02219D	curated
U-698-M	U-698-M	CVCL_0017	not available	Homo Sapiens	Haematopoietic and Lymphoid	Tonsil	7Y	Children	Male	Caucasian	Lymphoblastic lymphoma	B cell	cell	U-698M; U698; U698-M; U-698; U-698 M; U698M	curated
D-341MED	D341 Med	CVCL_0018	not available	Homo Sapiens	Brain	Cerebellum	3Y	Children	Male	Caucasian	Medulloblastoma non-wnt/non-shh group 3	not available	cell	D341; D-341MED; D-341 MED; D341_MED; D341MD; D-341; D-341 MED-C; H341; MED 341; D341MED	curated
SH-SY5Y	SH-SY5Y	CVCL_0019	SH-SY5Y cell	Homo Sapiens	Peripheral Nervous System	Bone marrow	4Y	Children	Female	Caucasian	Neuroblastoma	not available	cell	SK-SH-SY5Y CELL; SH-SY5Y; SY5Y CELL; SK-SH-SY5Y; SHSY5Y; NAN; SY5Y; SK-N-SH-SY5Y CELL; SHSY-5Y CELL; SHSY-5Y; SH-SY5Y PARENTAL	curated
U-138-MG	U-138MG	CVCL_0020	U-138MG cell	Homo Sapiens	Brain	Brain	47Y	Adult	Male	Caucasian	Glioblastoma	not available	cell	U138-MG; U-138 MG CELL; U-138-MG; U-138 MG; U-138 CELL; 138 MG; U138MG CELL; U138MG; 138MG; U 138 MG; U138	curated
U251	U-251MG	CVCL_0021	U-251MG cell	Homo Sapiens	Brain	Parietal lobe	75Y	Elderly	Male	Caucasian	Brain astrocytoma	not available	cell	U-251MG; U251-MG; 251MG; U251; U-251; 251 MG; U-251 MG CELL; U-251_MG; U-251 CELL; U-251 MG; 251 MG(6); U-251MG CELL; U251MG; U251 CELL; U251N; U251MG CELL; U-251-MG	curated
U-87-MG	U-87MG ATCC	CVCL_0022	U-87MG cell	Homo Sapiens	Brain	Brain	not available	not available	Male	Caucasian	Glioblastoma	not available	cell	U-87MG CELL; U-87MG ATCC; U-87MG; 87MG; U-87 CELL; U87; U-87 MG CELL; U87MG; U-87-MG; U-87; U-87-MG CELL; U87 CELL; U87-MG CELL; 87 MG; U87-MG; U87 MG; U87MG CELL; U-87 MG	curated
A549	A-549	CVCL_0023	A-549 cell	Homo Sapiens	Lung	Lung	58Y	Adult	Male	Caucasian	Lung adenocarcinoma	not available	cell	A549; A549 CELL; HA549; A549ATCC; NCI-A549; A549 ATCC; NCI-A549 CELL; A549/ATCC; A 549	curated
SCLC-21H	SCLC-21H	CVCL_0024	not available	Homo Sapiens	Lung	Pleural effusion	46Y	Adult	Male	Caucasian	Small cell lung carcinoma	not available	cell	SCLC21H	curated
Caco-2	Caco-2	CVCL_0025	CACO-2 cell	Homo Sapiens	Colon	Colon	72Y	Elderly	Male	Caucasian	Colon adenocarcinoma	not available	cell	CACO-2; CACO 2; CACO-2/ATCC; CACO2; CACO-II; CACO-2 CELL	curated
CAPAN-2	Capan-2	CVCL_0026	CAPAN-2 cell	Homo Sapiens	Pancreas	Pancreas	56Y	Adult	Male	Caucasian	Pancreatic ductal adenocarcinoma	not available	cell	CAPAN2; CAPAN 2; CAPAN-2	curated
Hep-G2	Hep-G2	CVCL_0027	Hep-G2 cell	Homo Sapiens	Liver	Liver	15Y	Juvenile	Male	Caucasian	Hepatoblastoma	not available	cell	HEPG2; HEPG2 CELL; HEP-G2; HEP G2	curated
AN3-CA	AN3-CA	CVCL_0028	AN3CA cell	Homo Sapiens	Endometrium	Lymph node	55Y	Adult	Female	Caucasian	Endometrial adenocarcinoma	not available	cell	AN3; AN3 CA; AN3CA; AN3_CA; AN-3; ACANTHOSIS NIGRICANS 3RD ATTEMPT-CARCINOMA	curated
EFO-21	EFO-21	CVCL_0029	not available	Homo Sapiens	Ovary	Ascites	56Y	Adult	Female	Caucasian	Ovarian serous cystadenocarcinoma	not available	cell	EFO21; EFO 21	curated
HeLa	HeLa	CVCL_0030	HeLa cell	Homo Sapiens	Cervix	Uterus	30Y6M	Adult	Female	African American	Human papillomavirus-related cervical adenocarcinoma	epithelial	cell	HELA; HELA; Hela; He La; He-La; HeLa-CCL2; Henrietta Lacks cells; Helacyton gartleri	curated
MCF7	MCF-7	CVCL_0031	MCF-7 cell	Homo Sapiens	Breast	Pleural effusion	69Y	Elderly	Female	Caucasian	Invasive breast carcinoma	not available	cell	SSMCF-7; MCF7/WT; NAN; SSMCF7; MCF7 CELL; MCF7-CTRL; MCF 7; MICHIGAN CANCER FOUNDATION-7; IBMF-7; MCF.7; MCF7	curated
SiHa	SiHa	CVCL_0032	SiHa cell	Homo Sapiens	Cervix	Uterus	55Y	Adult	Female	Japanese	Human papillomavirus-related squamous cell carcinoma	not available	cell	SIHA; NAN	curated
SK-BR-3	SK-BR-3	CVCL_0033	SK-BR-3 cell	Homo Sapiens	Breast	Pleural effusion	43Y	Adult	Female	Caucasian	Breast adenocarcinoma	not available	cell	SK BR 03; NAN; SK-BR3; SKBR-3 CELL; SK-BR-3; SKBR-3; SKBR3; SK-BR3 CELL; SKBR3 CELL	curated
PC-3	PC-3	CVCL_0035	PC-3 cell	Homo Sapiens	Prostate	Bone	62Y	Adult	Male	Caucasian	Prostate carcinoma	not available	cell	NAN; PC.3; PC3 CELL; PC3	curated
RT4	RT-4	CVCL_0036	RT-4 cell	Homo Sapiens	Bladder	Urinary bladder	63Y	Adult	Male	Caucasian	Bladder carcinoma	not available	cell	RT4 CELL; RT4P; RT4	curated
A431	A-431	CVCL_0037	A-431 cell	Homo Sapiens	Skin	Epidermis	85Y	Elderly	Female	Caucasian	Skin squamous cell carcinoma	not available	cell	NAN; A431 CELL; A431; A431/P	curated
HaCaT	HaCaT	CVCL_0038	HaCaT cell	Homo Sapiens	Skin	Skin; Epidermis; Back	62Y	Adult	Male	Caucasian	not available	keratinocyte	cell	NAN; HACAT	curated
